_id,active,name,description,type,volume,volume._id,volume.volume,volume.unit,amount,dimensions,weight_in_kg,is_sample_data
63da241c34e95908394adce0,TRUE,Kundencontainer Presse,,,,63da241c34e9594c1a4adce1,,cbm,0,,,FALSE
63da32d4d8532d0b61a53d36,TRUE,Absetzcontainer  7 cbm Deckel,,,,63da32d4d8532d49b0a53d37,,cbm,0,,,FALSE
63da4a4ed7473e0a3f787ab9,TRUE,Absetzcontainer  10er offen,,,,63da4a4ed7473e1cf7787aba,,cbm,0,,,FALSE
63da58dbec43870b4deca210,TRUE,Absetzcontainer 17 cbm offen,,,,63da58dbec4387e986eca211,,cbm,0,,,FALSE
63da60db2da65a9c0a070ad6,TRUE,Saugwagen Einsatz ,,,,63da60db2da65a2eae070ad7,,cbm,0,,,
63da75792da65a49060832b4,TRUE,10 cbm Conti stellen,,,,63da75792da65a4c980832b5,,cbm,0,,,FALSE
63da80232da65a6e1b08a789,FALSE,"2 Paletten Pflanzerde ab Braun, Eggingen",,,,643e9acf23478a31bceabdf6,,cbm,0,,,FALSE
63db59a9d8532ddf13abd831,FALSE,Absetzer 10er oder 12 offen ,,,,6423ca65f2ffbbd219f4b999,,cbm,0,,,FALSE
63db59b0ec43879810f0e454,TRUE,Absetzer 10er oder 12 offen ,,,,63db59b0ec438743daf0e455,,cbm,0,,,FALSE
63db6092d8532d79caac749a,FALSE,Absetzcontainer mit Deckel,,,,6423ca9cf6770a0e12653c87,,cbm,0,,,FALSE
63db815f2da65a49430e1d77,TRUE,Rollbehälter 120L MGB,,,,63db815f2da65a2e300e1d78,0.12,cbm,0,,,
63db818a2da65af4620e25b2,TRUE,Fettfass 50 L,,,,63db818a2da65a0d330e25b3,0.05,cbm,0,,,
63db8e87ec4387d45ff4e080,FALSE,"8,0 to Bagger",,,,643e9ad5d0d33f6da4b2f737,,cbm,0,,,FALSE
63dca12af6f149814c1f01ae,TRUE,5er deckel,,,,63dca12af6f149b8591f01af,,cbm,0,,,FALSE
63dcadf86889afc78145e79a,TRUE,Abroller 40 cbm,,,,63dcadf86889af6eb945e79b,,cbm,0,,,FALSE
63dcc0a0d625438caf19ed28,TRUE,5m³ flach,,,,63dcc0a0d625433e1419ed29,,cbm,0,,,FALSE
63dcd6bad62543881f1b6cfe,TRUE,Test,,,,63e3c2054d44a1bb3415be55,,cbm,100000,,,
63dd1c896889af88e64cc9de,TRUE,4 oder 5 cbm,,,,63dd1c896889af31de4cc9df,,cbm,0,,,FALSE
63dff65ff6f1490d2f27bd08,TRUE,Absetztransportmulde 6 cbm,,,,63dff65ff6f14920e427bd09,,cbm,0,,,FALSE
63e0a2f6d6254365b822ad36,FALSE,Absetzcontainer  2-3 m³ Deckel,,,,643909544b5c826b97b9e1af,,cbm,0,,,FALSE
63e0bbcd3bdcd705f2b2e11a,TRUE,Mineralbeton 0-45,,,,63e0bbcd3bdcd74092b2e11b,,cbm,0,,,FALSE
63e0cfb4f80c9552ff82d97f,TRUE,klein Container ,,,,63e0cfb4f80c9572e082d980,,cbm,0,,,FALSE
63e0e517f80c9542d2844bc7,FALSE,7 m³,,,,63e4bf39a7c3518e4dc666a8,,cbm,0,,,FALSE
63e0e5bef80c953992845b81,FALSE,5 m³,,,,63e4bf3fa7c351255fc66786,,cbm,0,,,FALSE
63e113e34d44a184380075e3,FALSE,25,,,,63e4bf454d44a16c541a467c,25,cbm,3,,,
63e20ffda7c35102ecb0b8d4,TRUE,Kran,,,,63e20ffda7c3515d80b0b8d5,,cbm,0,,,FALSE
63e21abdf80c9529638b7fe9,TRUE,Spedition,,,,63e21abdf80c95f7eb8b7fea,,cbm,0,,,FALSE
63e23d404d44a12a8a0897cb,TRUE, 6 cbm mit Klappe,,,,64390000caba8a7ca739e8dc,,cbm,0,,,FALSE
63e248a0f23eac433ce72ce6,FALSE,"4,0 to Bagger",,,,643e9ad923478a387aeabe41,,cbm,0,,,FALSE
63e33db8f23eac9701eae2db,TRUE,Anhänger,,,,63e33db8f23eac451ceae2dc,,cbm,0,,,FALSE
63e3887ef80c95325e9798f1,TRUE,Absetzcontainer  12 cbm Kiste,,,,646200df7bf78e67c0368042,,cbm,1,,,FALSE
63e3a784f23eaca1d3f24a11,TRUE,Absetzcontainer 15 cbm,,,,63e3a784f23eac19f2f24a12,,cbm,0,,,FALSE
